KATA BAKU
Abjad
Akhirat
Aksesori
Aktif
Akuarium
Aluminium
Ambulans
Analisis
Antena
Antre
Anugerah
Apotek
Asas
Asasi
Atlet
Atmosfer
Autopsi
Balsam
Batalion
Baterai
Becermin
Besok
Blanko
Boks
Bosan
Bus
Cabai
Capai
Cedera
Cendekiawan
Cengkih
Cinderamata
Cokelat
Daftar
Derajat
Desain
Detail
Detergen
Diagnosis
Durian
Efektif
Efektivitas
Ekosistem
Ekspor
Ekstra
Ekstrakurikuler
Ekstrem
Elite
Favorit
Februari
Film
Finis
Formal
Foto
Fotokopi
Fotosintesis
Frekuensi
Grup
Gua
Gubuk
Hafal
Hakikat
Hektare
Hierarki
Higienis
Hipotesis
Ideologi
Ijazah
Ikat
Impor
Indra
Intelijen
Interogasi
Introspeksi
Izin
Jadwal
Jenderal
Jeriken
Junior
Kacamata
Kaidah
Kanguru
Kanker
Karena
Karier
Karisma
Karismatik
Kategori
Kaus
Kemarin
Kesatria
Khawatir
Klub
Koboi
Komoditas
Kompleks
Komplet
Konferensi
Kongres
Konkret
Kosakata
Kover
Kreatif
Kreativitas
Kualitas
Kuantitas
Kuesioner
Kuintal
Kuitansi
Kuota
Legalisasi
Lemari
Lembap
Lubang
Majelis
Makhluk
Manajemen
Manajer
Mandek
